MRJD, smoothRV(m/s), error(m/s)
16223.674178, +1.17396, 1.0462 
16223.686516, +0.90454, 1.0385 
16223.695359, +0.93031, 1.0711 
16223.703785, +1.13825, 1.1651 
16223.711829, +0.66178, 1.0557 
16224.621632, +0.39474, 1.0104 
16224.632558, +0.48305, 1.1678 
16224.643484, +0.49384, 1.1778 
16224.653669, +0.30597, 1.2718 
16224.667824, -0.11424, 1.1235 
16224.678414, -0.01596, 1.2194 
16224.688507, -0.53616, 1.2105 
16224.699722, -0.94567, 1.4532 
16225.651586, -1.31700, 0.8968 
16225.661875, -2.03441, 0.9085 
16225.671910, -2.57889, 0.9896 
16225.682118, -3.26551, 0.9878 
16226.667766, -3.32823, 0.9539 
16226.688137, -3.10806, 0.9020 
16226.697581, -2.73520, 0.9738 
16226.711111, -2.17448, 1.0358 
16226.720174, -1.48909, 0.9706 
16226.729329, -1.28626, 1.0972 
16226.738657, -1.11892, 1.0878 
16229.711262, -1.03708, 1.0081 
16229.722211, -1.31270, 0.9545 
16229.732801, -1.31356, 0.9864 
16229.743241, -1.08235, 0.9831 
16229.773970, -0.94369, 0.9997 
16229.784630, -0.64815, 1.0327 
16229.795162, -0.38762, 0.9381 
16229.805868, -0.17722, 0.9268 
16230.636435, +0.33593, 0.9973 
16230.646481, -0.17740, 1.0316 
16230.655660, -0.06682, 0.9996 
16230.664410, -0.34329, 1.0606 
16230.678634, -0.49023, 1.1406 
16230.686308, -0.64840, 1.1852 
16230.694155, -0.85628, 1.1016 
16230.702674, -0.90134, 0.9737 
16231.746979, -0.54846, 0.9222 
16231.757477, -0.41323, 1.0233 
16231.768310, -0.59521, 1.0287 
16231.778646, -0.15823, 0.9918 
16231.791123, -0.57541, 1.0011 
16231.801678, -0.65722, 0.9297 
16231.812106, -0.74623, 1.0878 
16231.823090, -0.31160, 1.0063 
16232.636435, +0.05569, 1.0145 
16232.646447, +0.25743, 1.0053 
16232.655833, +0.54662, 1.0426 
16232.664699, +0.81663, 1.1042 
16232.683183, +0.38185, 1.0605 
16232.691863, +0.10485, 1.0956 
16232.700405, +0.51873, 1.0052 
16232.709016, +0.32660, 1.1431 
16233.608669, +0.27359, 0.9741 
16233.617836, +0.62340, 0.9756 
16233.626736, +0.90411, 0.9871 
16233.635613, +0.86138, 0.9159 
16233.646690, +0.53002, 0.9229 
16233.655590, +0.46649, 0.9712 
16233.664618, +0.62192, 1.0578 
16233.673831, -0.21081, 1.0418 
16234.629965, -0.52585, 1.0491 
16234.640440, -0.68390, 0.8629 
16234.651146, -1.11856, 1.0011 
16234.661852, -1.10135, 0.9606 
16235.625231, -1.53430, 0.9468 
16235.635035, -1.09539, 0.9798 
16235.644537, -1.13338, 0.9879 
16235.655185, -1.18254, 0.9568 
16236.705312, -1.52676, 1.0407 
16236.715949, -2.33295, 1.0705 
16236.726574, -2.26710, 1.0559 
16236.737303, -2.59377, 0.9810 
16237.614838, -3.00972, 1.0408 
16237.625382, -3.53817, 1.0040 
16237.635880, -3.75016, 1.0350 
16237.646076, -3.69381, 1.0517 
16237.655648, -4.19685, 1.1242 
16237.664433, -4.29969, 1.1939 
16237.673576, -3.84720, 1.1740 
16237.683333, -3.85254, 1.0002 
16238.590127, -4.10437, 1.1397 
16238.600764, -4.19977, 1.0947 
16238.611493, -4.15360, 1.0856 
16238.621667, -4.29628, 1.1592 
16238.633958, -4.84690, 1.1057 
16238.644248, -4.63163, 1.1090 
16238.653912, -4.04813, 1.1667 
16238.663229, -4.00965, 1.1272 
16239.663148, -4.18014, 1.0065 
16239.673183, -4.27693, 1.1116 
16239.682928, -3.62638, 0.9945 
16239.693009, -3.18694, 1.0574 
16241.717963, -3.20508, 1.0022 
16241.728611, -3.07087, 0.9763 
16241.739352, -3.03922, 0.9429 
16241.749780, -2.74483, 1.0062 
16242.715764, -2.33020, 0.9666 
16242.726389, -2.52150, 1.0054 
16242.736968, -2.44916, 1.0598 
16242.747558, -2.37887, 1.0445 
16243.662778, -1.70631, 0.9895 
16243.672789, -1.35232, 1.0026 
16243.683519, -2.08150, 0.9766 
16243.694120, -2.36489, 0.9495 
16244.630035, -2.27861, 1.0230 
16244.640741, -1.78347, 0.9621 
16244.651111, -1.60699, 1.0193 
16244.661852, -0.64685, 1.0007 
16245.664734, -0.14566, 0.9843 
16245.674931, +0.75735, 1.0577 
16245.684687, +1.38435, 1.0094 
16245.695012, +1.43203, 1.0429 
16248.621296, +1.83561, 0.9977 
16248.632188, +1.00948, 0.9202 
16248.642894, +1.04738, 1.0084 
16248.653461, +0.90839, 0.9793 
16249.664236, +1.16497, 1.0492 
16250.712407, +1.15062, 0.9129 
16250.722928, +1.04748, 0.9402 
16250.733715, +1.51557, 0.9755 
16250.744340, +1.87687, 0.9192 
16251.604005, +2.34597, 0.9664 
16251.614965, +2.30279, 0.9250 
16251.625475, +2.56267, 1.0311 
16251.636111, +2.19201, 0.9392 
16253.648588, +1.88473, 0.8668 
16253.658495, +1.93726, 0.9591 
16253.668009, +1.79626, 0.8847 
16253.677569, +1.34596, 0.9255 
16254.666377, +0.84009, 0.9981 
16254.675764, +0.80257, 1.0765 
16254.685729, +0.97664, 0.9683 
16254.695660, +0.03967, 0.9911 
16256.703831, -0.76440, 0.9835 
